,animal_id,unit_id,test_id,sex,unit_type,initial_conduction_velocity,initial_amplitude,initial_latency,recording_distance,test,test_frequency,test_amplitude,latency_k,latency_k_std,latency_normal_a,latency_normal_a_std,latency_normal_rmse,latency_normal_steady_cv,latency_actual_a,latency_actual_c,latency_actual_rmse,latency_actual_steady_cv,amplitude_actual_slope,amplitude_actual_slope_std,amplitude_actual_intercept,amplitude_actual_intercept_std,amplitude_actual_mean,amplitude_actual_rmse,amplitude_actual_rsquared,amplitude_normal_slope,amplitude_normal_intercept,amplitude_normal_mean,amplitude_normal_rmse,amplitude_normal_rsquared
0,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,F,,11.314957005787607,156.66815762895578,4.25,48.08856727459733,long-duration,50.0,1.0,0.43508124564469547,0.02635268383928986,0.04846629738710495,0.00014309753491002826,0.015437513263678445,-0.046225899209052734,0.20598176389519604,4.455981763895196,0.06560943137063342,10.791912943683304,0.13146376440028085,0.0016636631196859603,149.65686751030174,0.2988548021533005,170.25205673783236,16.055732469177435,0.6587509672439588,0.0008391224253216302,-0.04475248975135837,0.08670491384118995,0.10248242343669443,0.658750967243959
1,hff19,hff19_5,long-duration_electrical_50.0~-1.0_1.0,M,Ad,14.40682945536253,189.14258398056097,4.025,57.98748855783419,long-duration,50.0,1.0,0.045275339728971124,0.0004112421480282239,0.06989912651330352,9.403332780384293e-05,0.009452057600000261,-0.06533244563073715,0.28134398421604667,4.306343984216047,0.03804453184000101,13.465596053258755,0.00918024721804378,0.0011820455978048814,177.35466607102913,0.20425346516394907,178.7229052442076,12.274429946842051,0.9957416176753703,4.8536120342879925e-05,-0.062322918834308294,-0.055089015477467806,0.064895116099839,0.9957416176753705
2,hff05,hff05_2,long-duration_electrical_50.0~-1.0_1.0,M,Ad,15.127191242303578,73.59375813850184,5.496875,83.15227936003748,long-duration,50.0,1.0,0.05528128186186201,0.0003277364124395963,0.06214082413434081,4.739093894112815e-05,0.0050655888872194604,-0.05850525911663962,0.3415803426634546,5.838455342663455,0.02784490891443445,14.242170998965646,-0.0006425139936725216,0.0007641103470030448,70.59363554218865,0.13244963310765046,70.49717535034966,8.042650325815007,0.999952089571513,-8.730550116265625e-06,-0.04076599255424662,-0.0420767041455401,0.10928440847767165,0.9999520895715132
3,hff20,hff20_1,long-duration_electrical_50.0~-1.0_1.0,F,SA,17.951329875519964,183.73775451190517,2.8583333333333334,51.310884560861226,long-duration,50.0,1.0,0.035344288105403715,0.0004826788934536057,0.06054997553290759,0.00015870351947310868,0.012103386929130452,-0.057092996020750686,0.17307201339822753,3.0314053467315607,0.034595514305764505,16.92643467036972,0.042064203233078516,0.0013592513236453875,188.19162494459746,0.22358225529274028,193.986144139376,12.081530350604593,0.9107853393569555,0.0002289360907061319,0.024240366083301046,0.05577726610785794,0.06575420703653902,0.9107853393569555
4,hff10,hff10_1,long-duration_electrical_50.0~-1.0_1.0,F,FA,17.98280010269721,89.72082023642793,4.8375,86.99179549679776,long-duration,50.0,1.0,0.3025490932106952,0.013134963274145095,0.038219579459646616,0.00012050076366132797,0.010057078122652914,-0.036812616729438474,0.18488721563604052,5.022387215636042,0.048651115418333536,17.320806174794512,0.0249615753559048,0.0009979711355474728,85.3294828120846,0.1575832769109982,88.57932605342539,7.733411499061022,0.9232148114060011,0.00027821385593808964,-0.04894446364591276,-0.012722734589301843,0.08619416851832509,0.9232148114060009
5,hff19,hff19_3,long-duration_electrical_50.0~-1.0_1.0,M,FA,19.745486271016695,553.9153403016173,4.661111111111111,92.03590545212782,long-duration,50.0,1.0,5.250575479355992,1.320376692443669,0.029665434500983013,0.00018277320990523253,0.011082812992616048,-0.02881075105270492,0.13827388636847082,4.799384997479582,0.05165822278224948,19.17660398164783,0.005288706165124557,0.001899681696244442,566.9473073204623,0.3180510297072594,567.6939240322791,10.415912840455682,0.9979157961218854,9.54786007956515e-06,0.023527001457928298,0.024874891031469115,0.01880416027977131,0.9979157961218851
6,hff11,hff11_2,long-duration_electrical_50.0~-1.0_1.0,F,FA,22.135128780021784,754.8698244039134,2.1725000000000003,48.08856727459733,long-duration,50.0,1.0,0.30629226974944823,0.01848538800542512,0.0789162065275891,0.00028717881993528034,0.029612116040278927,-0.0731439624783976,0.17144545868118735,2.3439454586811874,0.06433232209750599,20.516077751081372,0.009168186834379033,0.0100224198508639,736.1521665881085,1.6791867291519333,737.461322166183,93.02779940212537,0.9999254045136541,1.2145387903959118e-05,-0.024795875011410673,-0.02306159509220962,0.12323687660396973,0.9999254045136541
7,hff19,hff19_2,long-duration_electrical_50.0~-1.0_1.0,M,SA,23.202329105578443,354.017942312498,3.966666666666667,92.03590545212782,long-duration,50.0,1.0,0.13506126439354096,0.0013305869519420702,0.07000658395097402,5.5199230536787114e-05,0.006439541748101914,-0.0654263113900444,0.2776927830055303,4.2443594496721975,0.025543515600804145,21.684286296542577,0.03814315750069627,0.0008722874537703492,352.29206937615555,0.1510770657009521,358.013161569685,9.251388808609885,0.8869247774817949,0.00010774357155894269,-0.004875100185795067,0.011285358112330668,0.026132542176191507,0.8869247774817951
8,hff11,hff11_1,long-duration_electrical_50.0~-1.0_1.0,F,FA,25.854068427202865,73.26767352271675,1.86,48.08856727459733,long-duration,50.0,1.0,3.7136447354621627,0.34419096100510915,0.18044697774223903,0.0004111591318480282,0.030594858884105427,-0.15286326378450965,0.33563137860056463,2.195631378600565,0.05690643752443606,21.90193114531259,-0.003102193881136417,0.000839351909791598,81.55130132770337,0.14093451060128603,81.11466120451699,5.743974503655998,0.9975610072020713,-4.234055391665435e-05,0.11305979031009183,0.10710027089050778,0.07839711877674226,0.9975610072020714
9,hff16,hff16_1,long-duration_electrical_50.0~-1.0_1.0,M,SA,28.430261549470504,815.9724887008271,2.5027777777777778,71.15462682242479,long-duration,50.0,1.0,10.233057095172109,4.853481918723922,0.03911890264128164,0.0004207549916530972,0.020388824725775734,-0.03764622368224402,0.0979059202216521,2.60068369799943,0.051028697438677606,27.359969563834436,-0.018919492007905214,0.009002909018286265,847.754200947252,1.4399505701478172,845.2492246011751,39.29407970857583,0.998136932227137,-2.318643369708261e-05,0.03894948994791125,0.03587956249231117,0.04815613302249807,0.9981369322271372
